编号	普通话	方言	发音	注释
0499	来月经	下底来喽	a44lae44lei21lo 	注意婉称
0500	拉屎	拉屎	na21lai41 	
0501	撒尿	拉尿	na21niu23 	
0502	放屁	放屁	buŋ55pøi35 	
0503	相当于“他妈的”的口头禅	操你奶	caeu21ni44ne41 	
0504	病了	病痛	ba44niaŋ35 	
0505	着凉	受寒	siu35gaŋ21 	
0506	咳嗽	嗽	sau35 	
0507	发烧	烘热	hœuŋ44ik2 	
0508	发抖	抖	teu331 	
0509	肚子疼	腹肚痛	bu55lu55tiaŋ35 	
0510	拉肚子	腹肚涝	bu55lu55lau35 	
0511	患疟疾	拍寒	pak55gaŋ21 	
0512	中暑	发痧	buk55sa331 	
0513	肿	肿	zuŋ41 	
0514	化脓	化脓	ho55nœuŋ21 	
0515	疤	疝	na331 	好了的
0516	癣	癣	ciŋ41 	
0517	痣	暴痣	bor21βei35 	凸起的
0518	疙瘩	雹=	poruk2 	蚊子咬后形成的
0519	狐臭	印=	eiŋ35 	
0520	看病	睨病	ae55baŋ 	
0521	诊脉	掇脉	du55mak21 	
0522	针灸	针灸	zaeiŋ44nʒiu35 	
0523	打针	拍针	pak55zaeiŋ331 	
0524	打吊针	挂瓶	go55beiŋ21 	
0525	吃药	食草	sei44co41 	统称
0526	汤药	中药	duŋ23ŋik5 	
0527	病轻了	病好纳=	baŋ23hor44nak2 	
0528	说媒	做媒侬	zor55mui21nœuŋ 	
0529	媒人	媒侬 媒侬婆	mui21nœuŋ21 mui21nœuŋ21mor 	
0530	相亲	相亲	sioŋ55nʒeiŋ331 	
0531	订婚	掇定	duk55nʒeiŋ331 	
0532	嫁妆	嫁妆	ga55ʒoruŋ331 	
0533	结婚	婚配 结婚	huŋ44mui35 gi55uŋ331 	统称 统称
0534	娶妻子	扛新妇	goruŋ23niŋ44mou23 	男子～，动宾
0535	出嫁	作新妇 出门	zor55niŋ55mou23 cu55muŋ21 	女子～ 女子～
0536	拜堂	拜堂	bai55doruŋ21 	
0537	新郎	新郎	siŋ23noruŋ331 	
0538	新娘子	新妇	siŋ44mou23 	
0539	孕妇	大腹肚	do44bu55lu51 	
0540	怀孕	带娠	dai55ʒeiŋ331 	
0541	害喜	病囝	baŋ44ŋiaŋ41 	妊娠反应
0542	分娩	放旦 饲囝	buŋ55naŋ35 ci55giaŋ51 	
0543	流产	小产	siu35laŋ51 	
0544	双胞胎	双胎囝	saŋ21nai44iaŋ41 	
0545	坐月子	作月利	zor55ŋu44lei23 	
0546	吃奶	食月能	sek44naeiŋ35 	
0547	断奶	断月能	doruŋ23naeiŋ35 	
0548	满月	满月	muaŋ35ŋuk55 	
0549	生日	生日	saŋ23nik2 	
0550	做寿	做寿	zork55seu23 	
0551	死	死	si41 	统称
0552	死	做老 过去	zor55lau23 gu35kø44 	婉称，最常用的几种，指老人：他～了 婉称，最常用的几种，指老人：他～了
0553	自杀	自杀	zu44lak5 	
0554	咽气	气落底	kei35lœuk5lae35 	
